"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ABR",489.899198954008,-0.291063477341406,0.0823428991464422,-3.53477325134942,0.000408125214876297,0.00320118516883324,"ABR"
"ABRA",19.999879528326,-0.83376793300085,0.304680041852017,-2.73653609843539,0.00620897823385211,0.0293551544330309,"ABRA"
"ABRACL",515.822472420348,0.370069155320706,0.13731931893056,2.6949533263258,0.00703984914248652,0.0324864107059647,"ABRACL"
"ABT1",655.248344698815,0.0313385080391533,0.110135659713209,0.284544607266693,0.775993054435225,0.886309292924394,"ABT1"
"ABTB1",289.596610419001,-1.09130329506013,0.166463753159528,-6.55580133420572,5.53438703507235e-11,2.42123114990996e-09,"ABTB1"
"ABTB2",16.1688259734334,0.26259371160901,0.224436949014079,1.17001105549932,0.24199651983844,0.445302055857024,"ABTB2"
"ACAA1",208.240062144669,-0.085871300505484,0.168602814430917,-0.509311192670918,0.610534113754316,0.781746125604923,"ACAA1"
"ACAA2",1002.55644203076,-0.0643698996682008,0.144755119685042,-0.444681333608489,0.65655006080135,0.812680241109737,"ACAA2"
"ACACA",490.195764786961,-0.628277668747122,0.0898502161186763,-6.99250036212798,2.70029816038079e-12,1.45345824014654e-10,"ACACA"
"ACACB",304.494631209086,-0.278597636570394,0.174821784344128,-1.59360938692851,0.111023550713444,0.261902410288195,"ACACB"
"ACAD10",222.178612417821,-0.00453780410296652,0.107191025856019,-0.0423338060880374,0.966232596072016,0.983286028589612,"ACAD10"
"ACAD11",42.4101478658917,0.360876566729477,0.150326847920927,2.40061287601334,0.016367641888358,0.0634210519325377,"ACAD11"
"ACAD8",267.758068846603,0.156621404154562,0.148894701520559,1.0518937380249,0.29284830522989,0.503601341771612,"ACAD8"
"ACAD9",481.892267538612,-0.172279379391932,0.0859321623874851,-2.00483002644679,0.044981221352553,0.136619141473708,"ACAD9"
"ACADL",273.736870217268,-1.8752894607615,0.219742609659559,-8.53402744086292,1.41339295320758e-17,1.82996187630836e-15,"ACADL"
"ACADM",549.632062626687,-0.136850322381974,0.0964307016537227,-1.41915717748686,0.155853197364471,0.330653118677812,"ACADM"
"ACADS",32.0696931711569,-0.694580867045685,0.240828745523896,-2.88412774619035,0.00392499497469743,0.0204822314011852,"ACADS"
"ACADSB",428.225689902885,-0.330847810727086,0.151604443650203,-2.18230945453321,0.0290867017071698,0.0986826094392328,"ACADSB"
"ACADVL",975.052288689694,0.103174389227464,0.159144434985619,0.648306610512565,0.516786659301017,0.710072132907363,"ACADVL"
