Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"466"	"NFKB1"	"506.8"	"ARCHS4 Coexpression,480;Enrichr Queries,867;ReMap ChIP-seq,162;GTEx Coexpression,518"	"CCL7,CCR7,SLC39A8,TRAF1,CCDC33"
"gene_set_query"	"467"	"MESP1"	"507.3"	"ARCHS4 Coexpression,723;Enrichr Queries,517;GTEx Coexpression,282"	"MFAP4,DOK5,ZNF385B,MAPT,BMP7,CAP2"
"gene_set_query"	"468"	"ZNF404"	"507.7"	"ARCHS4 Coexpression,368;Enrichr Queries,280;GTEx Coexpression,875"	"PCDH9,GSTA4,LAMP3,CTSK,FHL2,TAGLN3,NALCN"
"gene_set_query"	"469"	"FOSB"	"507.7"	"ARCHS4 Coexpression,389;Enrichr Queries,838;GTEx Coexpression,296"	"TFAP2A,SFTPA2,ZBTB16,NOTCH4,F13A1,FOLR2"
"gene_set_query"	"470"	"ETS1"	"507.8"	"Literature ChIP-seq,149;ARCHS4 Coexpression,1508;ENCODE ChIP-seq,58;Enrichr Queries,809;ReMap ChIP-seq,250;GTEx Coexpression,273"	"BTNL9,KEL,TUBB3,NOTCH4,FHL2,CYP4B1,ITGB7,PDCD1LG2,CCDC141,CXCL5"
"gene_set_query"	"471"	"ZFPM2"	"508.0"	"ARCHS4 Coexpression,462;Enrichr Queries,17;GTEx Coexpression,1045"	"CDH6,TENM4,PCDH9,LUM,ZBTB16,FHL2,HAS2,FBLN1,MAPT,PLXNA4,CAP2"
"gene_set_query"	"472"	"SOX9"	"508.2"	"Literature ChIP-seq,10;ARCHS4 Coexpression,1499;Enrichr Queries,587;ReMap ChIP-seq,179;GTEx Coexpression,266"	"COL17A1,TFAP2A,IL11,EGFL6,PCDH9,COL24A1,TENM4,LUM,GALNT15,EYA2,ZBTB16,USP44,FAM107A,FHL2,PRELP,ANO4,BMP7,PGC,ITGA11,PKP1,ITGB7,CCDC33,TNS4,KRT6A"
"gene_set_query"	"473"	"NKX12"	"508.5"	"ARCHS4 Coexpression,906;GTEx Coexpression,111"	"TP53AIP1,ALDH3B2,GJB2,USP44,HES2,KRT6A"
"gene_set_query"	"474"	"FOXD4L3"	"509.7"	"ARCHS4 Coexpression,802;Enrichr Queries,504;GTEx Coexpression,223"	"TFAP2A,GPM6A,TAGLN3,MAPT,BMP7,GRIA3"
"gene_set_query"	"475"	"ISL1"	"514.0"	"ARCHS4 Coexpression,845;Enrichr Queries,540;GTEx Coexpression,157"	"TFAP2A,CLDN18,FBLN1,PAMR1,PGC,BMP7,GRIA3"
"gene_set_query"	"476"	"ZNF831"	"514.7"	"ARCHS4 Coexpression,695;Enrichr Queries,389;GTEx Coexpression,460"	"TFAP2A,FCRL3,KCNA3,ITGB7,CCR7"
"gene_set_query"	"477"	"PAX4"	"515.3"	"ARCHS4 Coexpression,626;Enrichr Queries,88;GTEx Coexpression,832"	"ACOXL,TENM4,PRR15L,FAM107A,KCNA3,PRG4,CCR7,HES2"
"gene_set_query"	"478"	"ZNF138"	"515.7"	"ARCHS4 Coexpression,334;Enrichr Queries,723;GTEx Coexpression,490"	"COL17A1,TFAP2A,GSTA4,TUBB3,CDCA7"
