"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ADRB2",275.088397510369,-1.32303217759544,0.297070327523479,-4.45359921546143,8.44426601549242e-06,0.000110149098290583,"ADRB2"
"PI15",104.761337816032,1.5951239362274,0.358698787312129,4.44697331758574,8.70886504096172e-06,0.000113446139982943,"PI15"
"HLA-DOA",70.0179124870035,2.02526418807449,0.455601941192592,4.44524925151355,8.77900230584665e-06,0.000114204509290315,"HLA-DOA"
"SELP",371.704914020198,1.42218228545246,0.320983845251447,4.43069739020161,9.39288230344595e-06,0.000121202970167429,"SELP"
"PCYT2",47.242768033411,-1.00918385850325,0.227781978493005,-4.43048157356418,9.40228815057035e-06,0.000121242695518997,"PCYT2"
"MIR155HG",29.0083510034737,1.19216605321575,0.269222175019604,4.42818669423846,9.50286309012827e-06,0.00012229272164744,"MIR155HG"
"PCP2",5.91820755094202,-1.48825018888082,0.336863196052507,-4.41796612488603,9.9634031445239e-06,0.000127790315298104,"PCP2"
"KCNN4",37.936417061293,1.24892231471196,0.282839766234585,4.41565318533078,1.00705434044427e-05,0.000128757671854568,"KCNN4"
"SPARC",19872.1386532222,1.01304038343291,0.229417843872399,4.41570004465892,1.00683619015506e-05,0.000128757671854568,"SPARC"
"LINC00152",185.644841854591,1.18096082456851,0.267742671099698,4.41080541894185,1.02986832780139e-05,0.000131126256064018,"LINC00152"
"P2RY1",58.307016750751,-1.57081883866351,0.356129852204858,-4.41080361261017,1.02987691982229e-05,0.000131126256064018,"P2RY1"
"SLC45A3",37.2230511169479,1.01091751625155,0.229409547784925,4.40660611562383,1.05002878300269e-05,0.000133426071219479,"SLC45A3"
"REM1",59.6013673440698,1.21293418589196,0.275564013471052,4.40164218329393,1.07434628827912e-05,0.000136154917830717,"REM1"
"UGT2B4",17.471583507046,1.27029881481525,0.288934301012674,4.39649709419418,1.10011832865248e-05,0.000139053215129543,"UGT2B4"
"TMEM200A",89.6750430001729,1.03501933912544,0.235649970315541,4.39218955868962,1.12214794101663e-05,0.000141402193922455,"TMEM200A"
"IGLL5",4990.92121169353,2.62362210761832,0.597482194604647,4.3911301982051,1.12762989790147e-05,0.00014196875232318,"IGLL5"
"CD300LB",33.2488206512686,1.1803557400744,0.269029214100536,4.3874630642652,1.1468046094279e-05,0.000144288049414691,"CD300LB"
"CCR4",17.5238854559968,1.82289691192637,0.415575912617293,4.38643544195279,1.15223342367607e-05,0.000144875963677696,"CCR4"
"STK32A",73.0714866591526,1.00442791549343,0.229041600825557,4.38535144651923,1.15798663415698e-05,0.000145503868089942,"STK32A"
"ARG1",10.8954847141564,-1.37401606145154,0.313371080846507,-4.38462942317433,1.1618339131542e-05,0.000145605372425512,"ARG1"
"SELE",278.970198198016,2.24069723114011,0.512345772279202,4.37340825742004,1.22321662691622e-05,0.000152698872996538,"SELE"
"AEBP1",745.119949885762,1.24268899305676,0.284611866340817,4.36625854372729,1.26392863112102e-05,0.000157245732825126,"AEBP1"
"BBOX1",16.9004171356292,1.66262916895692,0.380786870538234,4.36629857170977,1.26369714529076e-05,0.000157245732825126,"BBOX1"
"FAM43B",3.04292709541896,3.68712521446759,0.844460247295344,4.36625078122599,1.26397352712706e-05,0.000157245732825126,"FAM43B"
"DNM1",33.5004431066272,1.21289173779039,0.277929306502647,4.36402966298497,1.27688251787038e-05,0.000158571761551732,"DNM1"
"CTAGE4",9.95128042896281,-1.42772410455387,0.32729271670445,-4.36222387998669,1.28747022096968e-05,0.00015978305941853,"CTAGE4"
"MTRNR2L2",24.6606652920819,-1.19670661684292,0.274746579169946,-4.35567431069884,1.32657899992432e-05,0.000164211284215438,"MTRNR2L2"
"H19",43.6049166628096,-1.70468812020972,0.39203048520024,-4.34835601965752,1.37161818919958e-05,0.000169567404783499,"H19"
